wall_time,scan_attempt,bbox_x,bbox_y,bbox_w,bbox_h,bbox_cx,bbox_cy,img_w,img_h,fx_px,fy_px,z_from_width_m,z_from_height_m,distance_forward_m,cube_robot_x_right_m,cube_robot_y_forward_m,cube_camera_z_m,cube_distance_robot_m,bearing_deg,map_x_m,map_y_m,task_local_x_right_m,task_local_y_forward_m
1780221097.858,1,0,10,77,154,38.50,87.00,480,360,369.568,353.270,0.2880,0.1376,0.2128,-0.1160,0.2128,0.0560,0.2424,28.60,2.3209,0.6827,-2.3367,0.2230
1780221097.872,1,0,11,131,153,65.50,87.50,480,360,369.568,353.270,0.1693,0.1385,0.1539,-0.0727,0.1539,0.0403,0.1702,25.28,2.3741,0.6325,-2.3881,0.2750
1780221098.136,1,27,11,163,154,108.50,88.00,480,360,369.568,353.270,0.1360,0.1376,0.1368,-0.0487,0.1368,0.0356,0.1452,19.59,2.4008,0.6201,-2.4143,0.2885
